-40.0	5.0	1.0
-13.0	13.0	1.0
-75.0	75.0	5.0
0.0	0.0	-69.99937
x        y        z        Bx        By        Bz
33 -11 -75 2.83080548632e-06 1.00733647091e-05 -1.3878292723e-05
34 -11 -75 3.20210852029e-06 9.88977166512e-06 -1.3492260053e-05
35 -11 -75 3.55039330025e-06 9.68611661968e-06 -1.3068213178e-05
36 -11 -75 3.87001536529e-06 9.45693156878e-06 -1.2606070775e-05
37 -11 -75 4.15825855655e-06 9.20670689867e-06 -1.2108352427e-05
38 -11 -75 4.41702545539e-06 8.94582864104e-06 -1.1578235827e-05
39 -11 -75 4.64085881035e-06 8.66685477884e-06 -1.1013740033e-05
40 -11 -75 4.81968528359e-06 8.37119143535e-06 -1.043993543e-05
-40 -10 -75 4.50064531427e-06 -9.1610977198e-06 9.78421896833e-06
-39 -10 -75 4.33884629742e-06 -9.486914714e-06 1.03071217425e-05
-38 -10 -75 4.12827751095e-06 -9.7895719363e-06 1.08322317035e-05
-37 -10 -75 3.88617072519e-06 -1.0086690894e-05 1.13278605408e-05
-36 -10 -75 3.61688060041e-06 -1.0363611643e-05 1.17924019483e-05
-35 -10 -75 3.31924790632e-06 -1.0619375779e-05 1.22251496368e-05
-34 -10 -75 2.99586421296e-06 -1.0850763537e-05 1.26229578741e-05
-33 -10 -75 2.64976541947e-06 -1.1056367114e-05 1.29832859378e-05
-32 -10 -75 2.28405198961e-06 -1.1234699739e-05 1.33042893959e-05
-31 -10 -75 1.90128352625e-06 -1.1385103384e-05 1.3584790849e-05
-30 -10 -75 1.5036098136e-06 -1.150494741e-05 1.38243445917e-05
-29 -10 -75 1.09302568465e-06 -1.1594688328e-05 1.40221477931e-05
-28 -10 -75 6.71313436855e-07 -1.1653837993e-05 1.41779051811e-05
-27 -10 -75 2.39784234162e-07 -1.1680270961e-05 1.42910061549e-05
-26 -10 -75 -2.0042230734e-07 -1.1673169766e-05 1.43614414306e-05
-25 -10 -75 -6.484655034e-07 -1.1633291078e-05 1.43890389667e-05
-24 -10 -75 -1.103567102e-06 -1.1560268481e-05 1.43733476645e-05
-23 -10 -75 -1.565135649e-06 -1.1451650761e-05 1.43136612291e-05
-22 -10 -75 -2.0323835798e-06 -1.1308376441e-05 1.42093796383e-05
-21 -10 -75 -2.5047676282e-06 -1.1129584223e-05 1.4059590163e-05
-20 -10 -75 -2.981570749e-06 -1.0916231518e-05 1.38633386171e-05
-19 -10 -75 -3.4619782486e-06 -1.0666339055e-05 1.36189939585e-05
-18 -10 -75 -3.9446659206e-06 -1.0381494553e-05 1.33253257314e-05
-17 -10 -75 -4.4273366045e-06 -1.0059241864e-05 1.29811534459e-05
-16 -10 -75 -4.90820196e-06 -9.7001616219e-06 1.25852867782e-05
-15 -10 -75 -5.3849124042e-06 -9.3067280857e-06 1.21369657421e-05
-14 -10 -75 -5.854507213e-06 -8.8770106629e-06 1.16353006581e-05
-13 -10 -75 -6.3136831595e-06 -8.4122059065e-06 1.10801963388e-05
-12 -10 -75 -6.7588431039e-06 -7.9130024712e-06 1.0471947615e-05
-11 -10 -75 -7.1861598713e-06 -7.3811538064e-06 9.81152969699e-06
-10 -10 -75 -7.5936868401e-06 -6.8186891936e-06 9.10061702452e-06
-9 -10 -75 -7.9693221248e-06 -6.2080957821e-06 8.32024918672e-06
-8 -10 -75 -8.333177063e-06 -5.6107494667e-06 7.51906438924e-06
-7 -10 -75 -8.6446222086e-06 -4.9663423609e-06 6.70186186528e-06
-6 -10 -75 -8.9352880597e-06 -4.309904208e-06 5.81921463369e-06
-5 -10 -75 -9.180191512e-06 -3.6198309598e-06 4.89850548159e-06
-4 -10 -75 0 0 0
-3 -10 -75 0 0 0
-2 -10 -75 0 0 0
-1 -10 -75 0 0 0
0 -10 -75 0 0 0
1 -10 -75 0 0 0
2 -10 -75 0 0 0
3 -10 -75 0 0 0
4 -10 -75 0 0 0
5 -10 -75 -9.180191512e-06 3.61983095978e-06 -4.8985054816e-06
6 -10 -75 -8.9352880597e-06 4.30990420805e-06 -5.8192146337e-06
7 -10 -75 -8.6446222086e-06 4.96634236085e-06 -6.7018618653e-06
8 -10 -75 -8.333177063e-06 5.61074946675e-06 -7.5190643892e-06
9 -10 -75 -7.9693221248e-06 6.20809578215e-06 -8.3202491867e-06
10 -10 -75 -7.5936868401e-06 6.81868919361e-06 -9.1006170245e-06
11 -10 -75 -7.1861598713e-06 7.3811538064e-06 -9.811529697e-06
12 -10 -75 -6.7588431039e-06 7.9130024712e-06 -1.0471947615e-05
13 -10 -75 -6.3136831595e-06 8.4122059065e-06 -1.1080196339e-05
14 -10 -75 -5.854507213e-06 8.87701066286e-06 -1.1635300658e-05
15 -10 -75 -5.3849124042e-06 9.30672808568e-06 -1.2136965742e-05
16 -10 -75 -4.90820196e-06 9.7001616219e-06 -1.2585286778e-05
17 -10 -75 -4.4273366045e-06 1.00592418644e-05 -1.2981153446e-05
18 -10 -75 -3.9446659206e-06 1.03814945526e-05 -1.3325325731e-05
19 -10 -75 -3.4619782486e-06 1.06663390555e-05 -1.3618993959e-05
20 -10 -75 -2.981570749e-06 1.09162315185e-05 -1.3863338617e-05
21 -10 -75 -2.5047676282e-06 1.11295842234e-05 -1.4059590163e-05
22 -10 -75 -2.0323835798e-06 1.13083764413e-05 -1.4209379638e-05
23 -10 -75 -1.565135649e-06 1.14516507609e-05 -1.4313661229e-05
24 -10 -75 -1.103567102e-06 1.1560268481e-05 -1.4373347665e-05
25 -10 -75 -6.484655034e-07 1.1633291078e-05 -1.4389038967e-05
26 -10 -75 -2.0042230734e-07 1.16731697659e-05 -1.4361441431e-05
27 -10 -75 2.39784234162e-07 1.16802709613e-05 -1.4291006155e-05
28 -10 -75 6.71313436855e-07 1.16538379929e-05 -1.4177905181e-05
29 -10 -75 1.09302568465e-06 1.15946883278e-05 -1.4022147793e-05
30 -10 -75 1.5036098136e-06 1.150494741e-05 -1.3824344592e-05
31 -10 -75 1.90128352625e-06 1.13851033842e-05 -1.3584790849e-05
32 -10 -75 2.28405198961e-06 1.12346997394e-05 -1.3304289396e-05
33 -10 -75 2.64976541947e-06 1.1056367114e-05 -1.2983285938e-05
34 -10 -75 2.99586421296e-06 1.08507635371e-05 -1.2622957874e-05
35 -10 -75 3.31924790632e-06 1.06193757788e-05 -1.2225149637e-05
36 -10 -75 3.61688060041e-06 1.03636116434e-05 -1.1792401948e-05
37 -10 -75 3.88617072519e-06 1.00866908936e-05 -1.1327860541e-05
38 -10 -75 4.12827751095e-06 9.78957193631e-06 -1.0832231703e-05
39 -10 -75 4.33884629742e-06 9.48691471404e-06 -1.0307121742e-05
40 -10 -75 4.50064531427e-06 9.16109771977e-06 -9.7842189683e-06
-40 -9 -75 4.15900529623e-06 -9.8848838479e-06 9.03533587282e-06
-39 -9 -75 3.99847571532e-06 -1.0234304812e-05 9.51965300531e-06
-38 -9 -75 3.80769132855e-06 -1.0575997225e-05 1.00067254553e-05
-37 -9 -75 3.58524261486e-06 -1.0903067026e-05 1.04643904175e-05
-36 -9 -75 3.33736361865e-06 -1.1207020518e-05 1.08933762897e-05
-35 -9 -75 3.06343591721e-06 -1.1487525374e-05 1.12929561845e-05
-34 -9 -75 2.76594988071e-06 -1.1742191247e-05 1.16602880759e-05
-33 -9 -75 2.44755808242e-06 -1.1968940349e-05 1.19931771707e-05
-32 -9 -75 2.11089046019e-06 -1.2166185015e-05 1.22899530361e-05
-31 -9 -75 1.75836339086e-06 -1.2332498531e-05 1.25494669997e-05
-30 -9 -75 1.39210989368e-06 -1.2466680873e-05 1.27709309878e-05
-29 -9 -75 1.01395402057e-06 -1.256756335e-05 1.29538318653e-05
